max_depth,train_error,cv_error,test_error
1,0.3891925084433528,0.39080927228842166,0.3898804650401179
5,0.27149728789274385,0.2754476621735026,0.27018175863762894
10,0.1619690922116467,0.16465014615736226,0.1626002947437367
15,0.07546822229045133,0.06959376758360843,0.08097265433109546
20,0.013099989765632996,0.011810520397299993,0.014409693794006877
25,0.002210623272950568,0.0036025893964792355,0.002865564106762731
30,0.002210623272950568,0.0036025893964792355,0.002865564106762731
