n_estimators,train_error,cv_error,test_error
1,0.00855593081567905,0.014429973718069844,0.011462256427050925
5,0.00030703101013202335,0.001187199154017641,0.0004912395611593254
10,0.00034796847814962643,0.0006959621017332332,0.0010643523825118715
25,0.00012281240405280933,0.000245637379750638,0.00040936630096610445
50,0.00010234367004400778,0.00020469572161348342,0.0003274930407728836
75,6.140620202640467e-05,0.00022516655068206072,0.0003274930407728836
100,8.187493603520622e-05,0.00022516655068206072,0.00040936630096610445
